photo,comment,comment_en,sequence_length
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/a897b7de857f814d86e61adde98b7e1e9663b9e9.jpg,ป้ายเตือนบนทางด่วนหัก เสี่ยงร่วง,Warning signs on the highway,32
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/48a0d650ac3b0509a3f996b235a701bfcc388a69.jpg,น้องหมาถูกรถชนขาหักครับ ตอนนี้แจ้งไปทางมูลนิธิต่างๆแล้วยังไม่มีที่ไหนตอบรับครับ,The dog was hit by a broken leg. Now informing the various foundations and there is no place to accept.,79
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/13dcb46712cbc0d75047418e4796aae6fb67750c.jpg,ฝาท่อชำรุดบริเวณรามอินทรา 5 แยก 15 ลานจอดรถตรงข้ามบริษัทเป็นต่อ,"The pipe cover is damaged at Ram Inthra 5, intersection 15, parking lot opposite the company.",63
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/f249809f31eadbfdfbc5764a9db6d5fc4feb5dbe.jpg,สอบถามเรื่องการเก็บขยะเขตธนบุรี ซอยสมเด็จพระเจ้าตากสิน 18 ปกติจะมีเจ้าหน้าที่มาเก็บขยะตามหน้าบ้านที่วางไว้ทุกวัน แต่ระยะหลังนี้บางวันเจ้าหน้าที่ก็ไม่มาเก็บ ถ้าจะมีวันไหนที่จะไม่มาเก็บอยากให้มีการแจ้งเนื่องจากบางครั้งมีหมาแมวมาคุ้ยถุงขยะ,"Inquire about garbage collection, Thonburi District Soi King Taksin 18, usually there are staff collecting garbage in front of the house that is placed every day. But in the latter, some days the staff did not come to collect If there is any day that will not come to collect, would like to have a notification because sometimes dogs, cats, rubbish",236
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/ba97b45e27e1af743c0fb0a7f92a97b59aac25fb.jpg,ฝาท่อเมนชำรุดบริเวณร้านของเก่ารามอินทรา 5 แยก 15,The pipe cover is damaged at the Ram Inthra 5 antiques shop.,48
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/f49c4beb8033ba78f11d6b98df69af2cc1574a94.jpg,พื้นฟุตบาทไม่เรียบร้อย ทำให้เกิดอุบะติเหตุได้ เห็นทำมาตั้งนานไม่เสร็จสักทีค่ะ โดยดิฉันได้ประสบอุบัตเหตุล้มเพราะพิ้นฟุตบาท เมื่อวานตอนเวลาช่วง 8 โมงเช้า ทั้งนี้ด้านข้างฟุตบาทที่ไม่เรียบก็มีร้านขายของตั้งและมีคนต่อคิวซื้อ และเดินสวนไปมาพลุกพล่าน ทำให้ทางเดินยิ่งแคบกว่าเดิม โดยเมื่อวานที่เกิดอุบัตติเหตุ ไม่มีกรวยตั้ง แต่เพิ่งจะมามีกรวยตั้งเมื่อเช้านี้รบกวนตรวจสอบด้วยค่ะ,"The floor is not completed. Can cause the cause I saw it for a long time. In which I experienced the cause of falling because of the role Yesterday at 8 o'clock in the morning. On the side of the footpath, there was a shop and someone queued to buy. And walked around Makes the path even narrower By yesterday, the cause No rich But just came to have a rich this morning, please check",371
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/e4f0b552ceb6d49f3d2062f0310a51c19eefb3df.jpg,ถนนเป็นหลุม,The road is a hole.,11
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/9d9b5c3f225fe6a469bd9acbf504136d9dfea6f5.jpg,ซ่อมถนนเป็นหลุม,Repairing the road as a hole,15
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/6d0791962f074b0d2ad7ea89667933f8be3b554f.jpg,อยากให้หน่วยงานที่เกี่ยวข้องมาดูแลท่อระบายน้ำที่ถนนลาดหญ้าค่ะ,Would like the relevant agencies to take care of the drainage pipe on Lat Ya Road,61
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/ec3ffca59337e0c85ea1cb2fdfa2a253f01da177.jpg,วัชรพืชขึ้นในลำรางข้างโกลเด้นแพลน,"Watcharaphi rises in Lamphaeng, Golden Plane.",33
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/4952bac6f98ab20b2ab1deaebf7f4be248f7ef80.jpg,สายไฟค่ะ,The wires,8
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/13c564b885b22d02b64a312233ecfce19eace4bc.jpg,เรื่องการทิ้งขยะ เขานำที่ทิ้งขยะออกไป แล้วไม่ได้กำหนดจุดใหม่ทำให้ไม่มีที่ทิ้งขยะ,"About throwing waste He brought the garbage out. And did not specify a new point, causing no littering",80
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/3bc78d6aa934c9c903f48c98ea382248c78d6f8e.jpg,ร้านค้ารถเข็นชาวต่างชาติขายขนมบริเวณนี้ทุกวันทำให้พื้นสกปรกด้วยคราบน้ำมันจำนวนมากบริเวณหน้าร้าน Family Mart สุขุมวิท 35 เป็นที่น่ารังเกียจของผู้เดินทางทั้งชาวไทยและชาวต่างชาติ,"Foreign cart shops sell snacks in this area every day, making the floor dirty with a lot of oil stains in front of Family Mart, Sukhumvit 35, is disgusting to both Thai and foreigners.",175
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/642818abb502f563d907eb8bb0bee18bae4af984.jpg,ทางเท้า,pavement,7
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/053ed6ff7f8634fc47ccc9e437fdb6a06a9bcd20.jpg,ร้านพวงหรีด มีการตั้งสิ่งของจองที่จอดรถหน้าร้านที่เป็นถนนสาธารณะตลอดทั้งวัน,The wreath shop has a parking item in front of the shop that is public throughout the day.,75
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/33c20253204529aaffc73d00629537a039c91aec.jpg,อ้างถึง เรื่อง 2022-FVPQ2W ที่เคยแจ้งไว้ เรื่องไฟฟ้าส่องสว่าง เกาะกลางถนนที่ดับ และใช้ไม่ได้ มาเกือบ 2 เดือนแล้ว ในเขตมีนบุรี ถนนซอยสามวา ( บริเวณหน้า รร.เอกบูรพา ถึงต้นซอย ) แต่ ขณะนี้ ทางเขตได้มาขุดต้นไม้เกาะกลางถนนเขตคลองสามวา ( เขตต่อเนื่องของมีนบุรี - คลองสามวา  ) ซึ่งจากเดิม ไฟไม่ดับ แต่...หลังจากมีการขุด ไฟฟ้าก็ดับ กินระยะยาว ต่อเนื่อง ตั้งแต่ต้นซอย ถึงกลางซอย มีติดบางช่วงเท่านั้น,"Referring to the subject of 2022-FVPQ2W that has been stated. Electricity The island in the middle of the road that has been extinguished and has not been used for almost 2 months in Min Buri District, Soi Sam Wa Road (in front of Ek Burapha School to the beginning of Soi), but now the district has come to dig a tree in the middle of Khlong Sam Wa Road ( The continuous zone of Min Buri - Khlong Sam Wa), which was originally the fire did not turn off, but ... After the electric digging has been extinguished, continuing to eat from the beginning of the alley to the middle of the alley.",390
https://storage.googleapis.com/traffy_public_bucket/TeamChadChart/corruption_photo2.png,nan,nan,3
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/65334817791604ce572b7f3355a9066f1d26857d.jpg,ช่วยส่งคนกวาดถนนมากวาดขยะท่อระบายน้ำ ซอยอนามัยงามเจริญ33 ด้วยค่ะ,Help send people to sweep the road to sweep the drain. Soi Ngam Ngamcharoen 33 too,64
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/c073c29fba625853e35e21e9834b3a1dc592e08f.jpg,คอสะพานทรุด และตัวผิวสะพานชำรุด เป็นหลุมบ่อ ขาดการดูแลซ่อมแซมมานานมาก,"The neck of the bridge collapsed and the surface of the bridge was pounded, lacking care for a long time.",69
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/69d3498fbda79ca409cc23a2cbed36cab46e151b.jpg,ตัดแต่งต้นไม้,Cut the tree,13
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/9974c5bea486994fdd1296011be6f01f08a98aaa.jpg,แจ้งเรื่อง ฟุตบาท ตรงที่เคยมีการปลูกต้นไม้เเนื่องจากบริเวณดังกล่าวนั้น ตอนนี้มีสภาพ ทรุดตัว ต่างระดับ และสกปรก อันเนื่องมาจาก ร้านค้าบริเวณนั้น  เวลาทำความสะอาดจะมีน้ำและเศษอาหาร ปะปนมาด้วย และไหลลงบริเวณ บ่อต้นไม้ดังกล่าว จึงอยากรบกวน เจ้าหน้าที่ช่วย ปรับปรุงชั่วคราว ก่อนเพราะตามที่เจ้าหน้าที่จะมาดำเนินการปลูกใหม่คงใช้เวลาพอสมควร รองบประมาณ ถ้าแก้ไขเป็นการชั่วคราวก่อนได้ ก็จะดีเพราะบ่อนี้มีความต่างระดับและสกปรก คนสัญจรเยอะ ได้ความปลอดภัย🟡ได้ความสะอาดเพิ่มพื้นที่สัญจรบนทางเท้า🟢ได้ความสวยงามตรงนวมินทร์ 68 แถวร้านขายยา และอาหาร‍‍ ขอขอบคุณ เจ้าหน้าที่ทุกท่าน ในการจัดการปัญหานี้ 🥀,"Reported about the footpath that had been planted with trees, because the area is now a different and dirty condition due to Shop in that area When cleaning, there will be water and food scraps mixed with and flows down. The said tree pond would like to disturb the staff to help. Temporarily Before, as the officers will come to proceed with the new planting, it will take a lot of time. It will be good because this pond is different and dirty. A lot of people are safe. 🟡 Cleanliness increases the traffic on the sidewalk. To manage this problem 🥀",592
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/ae738db5d14e24bb8d6b6e6282a14819d7842b9a.jpg,ถนนพังทั้งซอย รบกวนมาดูหน่อยค่ะ,The whole road is broken. Please come and see.,31
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/d597444ee758557840493250af9b9346c728ae73.jpg,รบกวนมาดูถนนทางเท้า ซอยสุภาพงษ์ 1 แยก 3-5 พังตลอดทั้งซอย,"Please come to see the road on Soi Supapong 1, intersection 3-5, broken throughout the alley.",56
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/b2104c14b4ca0d36aa0e93b6ea6e102140d39f52.jpg,ถนนพังตลอดทั้งเส้น ซอยสุภาพงษ์ 1 แยก 3-5,"The road is broken throughout the Soi Supapong 1, intersection 3-5.",40
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/a9b9c4454b2060b3b5c6dd658ca1e63c330ba234.jpg,ถนนพังมันทรุด รถจะพังหมดแล้ว,The road is broken. The car will be broken.,28
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/4368f74f9e6efa80e79871f31c174222ef2f6a6f.jpg,ถนนเพชรเกษม ตรงตลาดบางแค จอดรถไม่เป็นระเบียบค่ะ มอเตอร์ไซค์จอดเต็มข้างทางและตรงป้ายรถเมล์ ทำให้รถเมล์ไม่สามารถเข้าจอดที่ป้ายได้ (ไม่แน่ใจว่าจอดไม่ได้จริงๆหรือว่าคนขับรถเมล์เลือกที่จะจอดเลนกลางค่ะ) เลยทำให้การจราจรติดขัดมากค่ะ,"Petchkasem Road at Bang Khae market, the car park is not organized. Motorcycle parked on the side of the road and at the bus stop Causing the bus to not be able to park at the sign (Not sure if it really can't be parked or the bus driver chooses to park in the middle lane), so the traffic is very stuck.",225
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/35e5f26fddae78b461f776192b9ce6f1ad4c430b.jpg,ปัญหาสุนัขจรจัด,Stray dog ​​problem,15
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/d4be47368dc264dda2cb40a7252f0db19ac60e40.jpg,20 ต.ค.65 12.40น.จอดรถจยย.บนฟุตบาธซ.รามคำแหง24 ร้านกาแฟอเมซอน หน้าคอนโดอินสไปร์,20 Oct 65 12.40 hrs. Parking motorcycle on the foot of the Ramkhamhaeng 24 Amazon Coffee Shop In front of the condo Inspire,81
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/30e706e66792ea78214cc648e4f56d269ed00ff0.jpg,ชาวบ้านร้องขอให้ทำทางเดินให้ใหม่ ก่อนเข้าหมู่บ้านสินทวีแกรนด์วิลเลจ ซอยซ้ายมือตรงข้ามวิน,"The villagers asked to make a new path. Before entering the village of Sinthawee Grand Village Soi on the left, opposite Win",88
